GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET1001,ET2001,ET2002,ET2003,ET2004,ET2005,ET2006,ET2007,ET2008,ET2009,ET2010
"G53003300077","1990","WA",,,,,,,,,"0077",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001018","0000000000","Tract 77","S","+47619750","-122296578",,3779,1077,2426,34,113,16,32,32,0,3,46
"G53003300078","1990","WA",,,,,,,,,"0078",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000002153","0000003140","Tract 78","S","+47615667","-122279841",,5273,3400,1522,15,207,26,37,30,0,5,31
"G53003300079","1990","WA",,,,,,,,,"0079",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000696","0000000000","Tract 79","S","+47615000","-122306724",,3872,2026,1477,48,181,5,57,12,3,3,60
"G53003300080","1990","WA",,,,,,,,,"0080",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000744","0000004016","Tract 80","S","+47610186","-122366099",,3039,2534,209,75,122,1,44,13,7,5,29
"G5300330008099","1990","WA",,,,,,,,,"008099",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000000","0000000000","Tract 80.99","S","+47611480","-122348277",,10,10,0,0,0,0,0,0,0,0,0
"G53003300081","1990","WA",,,,,,,,,"0081",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000856","0000000533","Tract 81","S","+47605950","-122338482",,1844,1284,292,63,72,2,69,12,11,1,38
"G53003300082","1990","WA",,,,,,,,,"0082",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000354","0000000000","Tract 82","S","+47610350","-122331099",,1668,1282,113,42,171,1,25,3,5,3,23
"G53003300083","1990","WA",,,,,,,,,"0083",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000271","0000000000","Tract 83","S","+47612200","-122326696",,3255,2550,269,89,222,3,67,12,5,9,29
"G53003300084","1990","WA",,,,,,,,,"0084",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000363","0000000000","Tract 84","S","+47613900","-122322602",,2598,1974,236,45,220,4,59,6,3,7,44
"G53003300085","1990","WA",,,,,,,,,"0085",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000463","0000000000","Tract 85","S","+47604548","-122322958",,3950,1969,1177,141,387,4,92,77,21,21,61
